ccode,country,year,repdem,rights,access,judind,conpower,standing,judrev,purge,pack,comp
290,POL,1991,0.866,19,0.854,1,0,0,1.907,1.468,1.652,2.134
290,POL,1992,0.884,0,0.854,1,0,0.5,1.907,1.468,1.652,2.134
290,POL,1993,0.885,0,0.956,1,0,0.5,1.907,1.468,1.652,2.134
290,POL,1994,0.89,0,0.956,1,0,0.5,1.907,1.468,1.652,2.134
290,POL,1995,0.889,0,0.956,1,0,0.5,1.907,1.468,1.652,2.134
290,POL,1996,0.882,0,0.956,1,0,0.5,1.907,1.468,1.652,2.134
290,POL,1997,0.871,36,0.956,1,2,1,1.907,1.468,1.652,2.134
290,POL,1998,0.88,36,0.956,1,2,1,1.907,1.468,1.652,2.134
290,POL,1999,0.88,36,0.956,1,2,1,1.907,1.468,1.652,2.134
290,POL,2000,0.88,36,0.956,1,2,1,1.907,1.468,1.652,2.134
290,POL,2001,0.881,36,0.956,1,2,1,1.907,1.468,1.652,2.134
290,POL,2002,0.881,36,0.956,1,2,1,1.907,1.468,1.652,2.134
290,POL,2003,0.881,36,0.956,1,2,1,1.907,1.468,1.652,2.134
290,POL,2004,0.881,36,0.956,1,2,1,1.907,1.468,1.652,2.134
290,POL,2005,0.883,36,0.956,1,2,1,1.907,1.468,1.652,2.134
290,POL,2006,0.874,36,0.956,1,2,1,1.907,1.468,1.652,1.998
290,POL,2007,0.873,36,0.956,1,2,1,1.907,1.468,1.652,1.998
290,POL,2008,0.891,36,0.956,1,2,1,1.907,1.468,1.652,2.131
290,POL,2009,0.891,36,0.956,1,2,1,1.907,1.468,1.652,2.131
290,POL,2010,0.893,36,0.951,1,2,1,1.907,1.468,1.652,2.131
290,POL,2011,0.894,36,0.951,1,2,1,1.907,1.468,1.652,2.051
290,POL,2012,0.89,36,0.951,1,2,1,1.907,1.468,1.652,2.051
290,POL,2013,0.888,36,0.938,1,2,1,1.907,1.468,1.652,2.051
290,POL,2014,0.88,36,0.942,1,2,1,1.907,1.468,1.652,2.051
290,POL,2015,0.873,36,0.942,1,2,1,1.907,0.72,0.144,1.483
290,POL,2016,0.729,36,0.889,1,2,1,1.907,0.753,-0.213,0.362
290,POL,2017,0.69,36,0.819,1,2,1,1.907,0.363,-0.348,0.768
290,POL,2018,0.688,36,0.784,1,2,1,1.907,-0.72,-0.996,0.768
290,POL,2019,0.688,36,0.784,1,2,1,1.907,-0.525,-1.095,0.5
290,POL,2020,0.617,36,0.731,1,2,1,1.907,-0.611,-1.091,0.603
290,POL,2021,0.583,36,0.698,1,2,1,1.907,-1.157,-1.214,0.356
310,HUN,1991,0.852,36,0.942,1,1,1,1.839,1.351,1.128,1.446
